datetime,line_id,stop_id,bus_id,boarding,alighting,current_load,new_load,occupancy_rate,trip_id,stop_sequence,total_stops,fitness_score,source
2025-06-02 05:28:00.000000,101,10017,opt_bus_101_0528,0,0,0,0,0.0,1,1,78,0.8121139032132771,optimized_schedule
2025-06-02 05:32:26.814565,101,10113,opt_bus_101_0528,0,0,0,0,0.0,1,2,78,0.8121139032132771,optimized_schedule
2025-06-02 05:37:11.708446,101,10268,opt_bus_101_0528,0,0,0,0,0.0,1,3,78,0.8121139032132771,optimized_schedule
2025-06-02 05:40:00.000000,101-1,10017,opt_bus_101-1_0540,0,0,0,0,0.0,37,1,89,0.8126430487707956,optimized_schedule
2025-06-02 05:41:57.916686,101,10297,opt_bus_101_0528,0,0,0,0,0.0,1,4,78,0.8121139032132771,optimized_schedule
2025-06-02 05:43:45.886576,101-1,10028,opt_bus_101-1_0540,0,0,0,0,0.0,37,2,89,0.8126430487707956,optimized_schedule
2025-06-02 05:45:49.193586,101,10401,opt_bus_101_0528,0,0,0,0,0.0,1,5,78,0.8121139032132771,optimized_schedule
2025-06-02 05:48:32.811258,101-1,10113,opt_bus_101-1_0540,0,0,0,0,0.0,37,3,89,0.8126430487707956,optimized_schedule
2025-06-02 05:50:31.470764,101,10550,opt_bus_101_0528,0,0,0,0,0.0,1,6,78,0.8121139032132771,optimized_schedule
2025-06-02 05:52:18.579209,101-1,10268,opt_bus_101-1_0540,0,0,0,0,0.0,37,4,89,0.8126430487707956,optimized_schedule
2025-06-02 05:53:38.254394,101,10883,opt_bus_101_0528,0,0,0,0,0.0,1,7,78,0.8121139032132771,optimized_schedule
2025-06-02 05:56:42.076438,101-1,10297,opt_bus_101-1_0540,0,0,0,0,0.0,37,5,89,0.8126430487707956,optimized_schedule
2025-06-02 05:56:45.083641,101,11166,opt_bus_101_0528,0,0,0,0,0.0,1,8,78,0.8121139032132771,optimized_schedule
2025-06-02 05:59:00.000000,101-1,10017,opt_bus_101-1_0559,0,0,0,0,0.0,38,1,89,0.8126430487707956,optimized_schedule
2025-06-02 06:00:48.165276,101,11167,opt_bus_101_0528,0,0,0,0,0.0,1,9,78,0.8121139032132771,optimized_schedule
2025-06-02 06:01:30.624963,101-1,10401,opt_bus_101-1_0540,0,0,0,0,0.0,37,6,89,0.8126430487707956,optimized_schedule
2025-06-02 06:02:45.886576,101-1,10028,opt_bus_101-1_0559,0,0,0,0,0.0,38,2,89,0.8126430487707956,optimized_schedule
2025-06-02 06:06:15.497307,101,11168,opt_bus_101_0528,0,0,0,0,0.0,1,10,78,0.8121139032132771,optimized_schedule
2025-06-02 06:07:31.953746,101-1,10550,opt_bus_101-1_0540,0,0,0,0,0.0,37,7,89,0.8126430487707956,optimized_schedule
2025-06-02 06:08:57.207550,101-1,10113,opt_bus_101-1_0559,0,0,0,0,0.0,38,3,89,0.8126430487707956,optimized_schedule
2025-06-02 06:10:13.036187,101,11169,opt_bus_101_0528,0,0,0,0,0.0,1,11,78,0.8121139032132771,optimized_schedule
2025-06-02 06:12:33.952606,101-1,10883,opt_bus_101-1_0540,0,0,0,0,0.0,37,8,89,0.8126430487707956,optimized_schedule
2025-06-02 06:13:41.161765,101-1,10268,opt_bus_101-1_0559,0,0,0,0,0.0,38,4,89,0.8126430487707956,optimized_schedule
2025-06-02 06:15:08.028595,101,11170,opt_bus_101_0528,0,0,0,0,0.0,1,12,78,0.8121139032132771,optimized_schedule
2025-06-02 06:18:06.467157,101-1,11166,opt_bus_101-1_0540,0,0,0,0,0.0,37,9,89,0.8126430487707956,optimized_schedule
2025-06-02 06:18:55.013875,101,11171,opt_bus_101_0528,0,0,0,0,0.0,1,13,78,0.8121139032132771,optimized_schedule
2025-06-02 06:19:19.014950,101-1,10297,opt_bus_101-1_0559,0,0,0,0,0.0,38,5,89,0.8126430487707956,optimized_schedule
2025-06-02 06:22:50.926997,101-1,11167,opt_bus_101-1_0540,0,0,0,0,0.0,37,10,89,0.8126430487707956,optimized_schedule
2025-06-02 06:23:00.000000,101,10017,opt_bus_101_0623,0,0,0,0,0.0,2,1,78,0.8121139032132771,optimized_schedule
2025-06-02 06:24:13.391782,101,11173,opt_bus_101_0528,0,0,0,0,0.0,1,14,78,0.8121139032132771,optimized_schedule
2025-06-02 06:25:32.655700,101-1,10401,opt_bus_101-1_0559,0,0,0,0,0.0,38,6,89,0.8126430487707956,optimized_schedule
2025-06-02 06:28:17.422488,101-1,11168,opt_bus_101-1_0540,0,0,0,0,0.0,37,11,89,0.8126430487707956,optimized_schedule
2025-06-02 06:28:42.592236,101,10113,opt_bus_101_0623,0,0,0,0,0.0,2,2,78,0.8121139032132771,optimized_schedule
2025-06-02 06:30:17.308709,101,11174,opt_bus_101_0528,0,0,0,0,0.0,1,15,78,0.8121139032132771,optimized_schedule
