datetime,hour,minute,date,line_id,stop_id,bus_id,boarding,alighting,current_load,new_load,capacity,occupancy_rate,actual_stop,status,trip_id,stop_sequence,total_stops,fitness_score,source
2025-06-02 05:00:00.000000,5,0,2025-06-02,102-1,10516,opt_bus_102-1_0500,0,0,0,0,50,0.0,True,,68,1,32,0.8136661767746579,optimized_schedule
2025-06-02 05:00:00.000000,5,0,2025-06-02,102-2,10513,opt_bus_102-2_0500,0,0,0,0,50,0.0,True,,132,1,34,0.8169200913514905,optimized_schedule
2025-06-02 05:00:00.000000,5,0,2025-06-02,103-1,10516,opt_bus_103-1_0500,0,0,0,0,50,0.0,True,,193,1,34,0.7952699759188713,optimized_schedule
2025-06-02 05:00:00.000000,5,0,2025-06-02,103-2,10513,opt_bus_103-2_0500,0,0,0,0,50,0.0,True,,238,1,33,0.7769030479520271,optimized_schedule
2025-06-02 05:00:00.000000,5,0,2025-06-02,104-1,10116,opt_bus_104-1_0500,0,0,0,0,50,0.0,True,,304,1,54,0.782156124401152,optimized_schedule
2025-06-02 05:00:00.000000,5,0,2025-06-02,104-2,10139,opt_bus_104-2_0500,0,0,0,0,50,0.0,True,,345,1,57,0.7860582415880137,optimized_schedule
2025-06-02 05:00:00.000000,5,0,2025-06-02,105-1,10116,opt_bus_105-1_0500,0,0,0,0,50,0.0,True,,388,1,55,0.7604113594079147,optimized_schedule
2025-06-02 05:00:00.000000,5,0,2025-06-02,105-2,10139,opt_bus_105-2_0500,0,0,0,0,50,0.0,True,,444,1,59,0.6943000592260712,optimized_schedule
2025-06-02 05:03:15.247623,5,3,2025-06-02,103-1,10518,opt_bus_103-1_0500,0,0,0,0,50,0.0,True,,193,2,34,0.7952699759188713,optimized_schedule
2025-06-02 05:03:33.936407,5,3,2025-06-02,105-2,10397,opt_bus_105-2_0500,0,0,0,0,50,0.0,True,,444,2,59,0.6943000592260712,optimized_schedule
2025-06-02 05:03:41.005878,5,3,2025-06-02,105-1,10396,opt_bus_105-1_0500,0,0,0,0,50,0.0,True,,388,2,55,0.7604113594079147,optimized_schedule
2025-06-02 05:03:54.389923,5,3,2025-06-02,102-2,10514,opt_bus_102-2_0500,0,0,0,0,50,0.0,True,,132,2,34,0.8169200913514905,optimized_schedule
2025-06-02 05:04:17.897318,5,4,2025-06-02,104-1,10396,opt_bus_104-1_0500,0,0,0,0,50,0.0,True,,304,2,54,0.782156124401152,optimized_schedule
